IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimAmountTotal
501,1,0.84,C,6,2,41,50,B12,'Diesel',343,R72,0.0
527,1,0.84,C,10,7,43,50,B12,'Regular',138,R21,0.0
719,1,0.9,B,10,0,45,50,B12,'Diesel',84,R21,0.0
933,1,0.72,C,6,0,75,50,B12,'Diesel',137,R52,0.0
1182,1,0.7,C,6,0,47,50,B12,'Regular',182,R82,0.0
1286,1,0.62,E,4,0,32,85,B12,'Regular',2674,R93,0.0
1935,1,0.6,C,4,1,32,62,B12,'Regular',252,R21,0.0
2036,1,0.64,A,10,0,67,50,B12,'Diesel',24,R26,0.0
2062,1,0.19,C,5,0,41,50,B12,'Regular',353,R11,0.0
2758,1,0.62,D,5,0,37,60,B12,'Regular',534,R11,0.0
2771,1,0.24,D,12,5,57,50,B12,'Diesel',1082,R82,0.0
2887,1,0.12,C,6,2,40,50,B5,'Diesel',269,R91,0.0
2891,1,0.6,C,11,0,52,50,B12,'Diesel',182,R82,0.0
3167,1,0.41,C,4,0,45,50,B12,'Regular',359,R91,0.0
4079,1,0.61,C,9,0,44,65,B12,'Regular',174,R93,0.0
4224,1,0.05,A,9,0,53,50,B12,'Regular',24,R83,0.0
4414,1,0.57,D,4,0,53,64,B12,'Regular',1867,R11,0.0
4660,1,0.15,E,4,0,37,50,B12,'Regular',3317,R93,0.0
4811,2,0.53,C,7,6,46,50,B10,'Diesel',237,R93,0.0
5295,1,0.5,E,7,0,38,60,B12,'Diesel',5376,R11,0.0
5490,1,0.12,E,6,0,53,50,B12,'Regular',3339,R11,0.0
6090,1,0.51,D,7,5,72,50,B12,'Regular',1247,R73,0.0
6483,1,0.24,B,9,0,55,52,B12,'Regular',66,R93,0.0
6656,1,0.03,E,6,0,72,50,B12,'Regular',5433,R93,0.0
7235,1,0.0027322404371584,E,5,0,61,50,B12,'Regular',7752,R11,0.0
7368,2,0.29,B,5,0,40,50,B12,'Regular',77,R23,0.0
8131,1,0.31,C,6,1,32,54,B12,'Diesel',181,R82,0.0
8218,1,0.05,E,4,0,54,50,B12,'Regular',3132,R11,0.0
8866,1,0.18,C,6,1,30,57,B12,'Diesel',119,R91,0.0
8962,1,0.07,E,7,0,35,75,B12,'Diesel',9802,R11,0.0
9537,1,0.06,E,4,0,33,68,B12,'Regular',3301,R73,0.0
9968,1,0.11,E,4,0,51,50,B12,'Regular',4128,R52,0.0
10393,1,0.1,C,6,3,51,50,B12,'Regular',251,R11,0.0
10604,1,0.04,B,6,2,59,50,B12,'Diesel',90,R72,0.0
10755,1,0.1,C,9,0,53,50,B12,'Regular',193,R82,0.0
10763,1,0.06,D,7,0,53,60,B12,'Diesel',604,R41,0.0
10811,1,0.06,D,10,0,45,50,B12,'Diesel',549,R82,0.0
11322,1,0.02,C,5,0,45,74,B12,'Regular',377,R11,0.0
11453,1,0.0081967213114754,B,5,0,49,52,B12,'Regular',64,R91,0.0
16809,1,1.0,A,5,6,44,50,B1,'Regular',37,R24,0.0
17286,1,1.0,C,7,14,68,50,B2,'Diesel',335,R24,0.0
17306,1,0.31,A,7,7,60,50,B1,'Regular',45,R24,0.0
17424,1,0.41,E,11,20,83,50,B1,'Regular',3699,R82,0.0
17594,1,1.0,A,4,22,74,50,B1,'Regular',10,R24,0.0
18169,1,0.7,A,6,3,43,50,B2,'Diesel',18,R24,0.0
18246,1,0.83,B,10,10,56,50,B10,'Diesel',60,R52,0.0
18520,2,0.81,C,7,2,43,50,B2,'Diesel',204,R25,0.0
18648,1,1.0,C,7,3,81,50,B2,'Regular',203,R24,0.0
18718,1,1.0,A,6,4,67,50,B1,'Diesel',18,R24,1253.0
18859,1,1.0,C,5,5,65,50,B1,'Regular',354,R52,0.0
19036,1,1.0,C,5,5,70,50,B1,'Regular',440,R53,0.0
19056,1,0.56,D,6,13,51,50,B2,'Diesel',607,R82,0.0
19238,1,1.0,A,7,12,63,50,B2,'Diesel',11,R24,0.0
19398,1,0.23,C,7,2,50,50,B2,'Diesel',165,R53,0.0
19762,1,1.0,A,5,6,53,50,B1,'Regular',10,R24,0.0
19895,1,1.0,A,6,5,60,50,B1,'Diesel',11,R24,0.0
19976,2,0.21,A,9,4,71,50,B2,'Regular',14,R24,0.0
20147,1,1.0,D,7,14,43,50,B1,'Regular',1313,R24,0.0
20811,1,1.0,C,7,15,79,50,B1,'Regular',282,R24,0.0
20849,1,0.0027322404371584,E,7,0,56,50,B2,'Diesel',4128,R52,0.0
20881,1,0.22,E,7,4,49,50,B2,'Diesel',4128,R52,3115.36
21503,1,1.0,D,8,10,51,50,B1,'Diesel',722,R53,0.0
21562,1,0.91,E,4,17,65,50,B1,'Regular',3386,R53,0.0
22504,1,1.0,C,4,3,69,95,B1,'Regular',118,R91,0.0
22506,1,1.0,A,5,2,68,50,B5,'Diesel',13,R24,0.0
22816,1,0.88,C,5,6,52,50,B3,'Regular',473,R53,564.06
22862,1,1.0,B,11,1,38,54,B3,'Regular',74,R52,0.0
22883,1,0.25,C,7,7,52,50,B3,'Regular',461,R53,0.0
23203,1,0.49,C,4,13,64,50,B5,'Regular',230,R82,0.0
24089,1,0.72,C,6,2,30,50,B3,'Diesel',133,R53,0.0
24124,2,1.0,A,5,2,45,50,B1,'Diesel',37,R53,0.0
24359,1,1.0,C,5,4,55,50,B4,'Regular',298,R24,0.0
24515,1,0.24,A,6,6,30,68,B2,'Diesel',24,R24,0.0
25051,0,1.0,B,6,5,29,67,B2,'Diesel',50,R24,0.0
25424,0,0.88,C,7,6,37,50,B2,'Diesel',172,R24,0.0
25644,0,1.0,A,6,6,40,50,B1,'Regular',30,R24,0.0
25709,0,0.58,B,6,14,38,50,B12,'Diesel',84,R52,0.0
26044,0,0.79,C,5,0,60,50,B2,'Diesel',251,R52,0.0
26183,0,1.0,B,5,6,44,50,B1,'Diesel',82,R52,0.0
26210,0,0.24,E,7,19,40,95,B1,'Regular',3541,R52,0.0
26534,0,1.0,A,5,2,32,54,B4,'Diesel',31,R52,0.0
26795,0,0.11,A,4,19,34,50,B2,'Regular',44,R52,0.0
26995,0,0.08,B,6,17,54,50,B3,'Regular',65,R52,0.0
27126,0,0.02,A,5,4,31,54,B3,'Diesel',30,R24,0.0
27127,0,0.97,A,5,4,31,50,B3,'Diesel',30,R24,0.0
27360,0,1.0,B,4,13,66,51,B1,'Regular',91,R24,0.0
27388,0,0.22,C,5,10,41,95,B5,'Regular',192,R24,0.0
28063,0,1.0,D,4,11,46,50,B1,'Regular',1600,R24,0.0
28069,0,0.01,D,5,10,28,64,B2,'Regular',741,R24,0.0
28081,0,1.0,A,6,2,51,50,B2,'Diesel',33,R24,0.0
28280,0,0.03,B,5,9,24,80,B2,'Regular',71,R24,0.0
29089,0,1.0,D,4,14,76,50,B2,'Regular',1054,R24,0.0
29284,0,0.62,C,7,5,25,76,B1,'Diesel',127,R52,0.0
29533,0,1.0,C,7,2,32,72,B6,'Diesel',214,R52,0.0
29571,0,0.97,B,5,1,56,58,B2,'Diesel',86,R53,0.0
30015,0,1.0,C,6,2,28,50,B3,'Diesel',359,R53,0.0
30315,0,0.79,C,7,17,31,68,B1,'Regular',359,R53,0.0
30323,0,0.3,B,6,8,26,64,B3,'Diesel',98,R53,0.0
30459,0,0.18,C,7,10,25,147,B1,'Regular',287,R53,0.0
30757,0,0.74,C,5,6,26,64,B3,'Diesel',165,R53,0.0
30819,0,0.15,B,4,12,47,72,B1,'Regular',57,R24,0.0
31132,0,0.87,B,7,15,55,55,B5,'Diesel',76,R54,0.0
31155,0,0.14,D,5,9,28,64,B2,'Regular',1445,R72,0.0
31322,0,1.0,A,5,12,47,52,B2,'Regular',41,R26,0.0
32266,0,1.0,C,6,6,27,60,B1,'Diesel',138,R24,0.0
32665,0,0.66,C,6,7,28,72,B2,'Regular',105,R24,0.0
32920,0,1.0,C,6,8,45,50,B2,'Diesel',490,R52,0.0
32971,0,1.0,A,8,9,36,50,B3,'Regular',8,R24,0.0
33483,0,1.0,A,4,6,20,90,B2,'Regular',46,R54,0.0
33721,0,0.15,A,7,17,23,86,B1,'Regular',48,R54,0.0
33723,0,0.09,A,8,4,23,86,B12,'Regular',48,R54,0.0
33822,1,0.79,D,5,1,58,50,B1,'Diesel',657,R54,641.72
34067,0,0.1,E,5,1,30,50,B2,'Diesel',3095,R31,0.0
34076,0,0.54,B,9,2,38,72,B1,'Diesel',67,R54,0.0
34313,0,0.58,A,12,14,67,50,B10,'Diesel',17,R24,0.0
34314,0,0.41,A,12,14,67,50,B10,'Diesel',17,R24,0.0
34593,0,0.39,A,4,5,28,90,B2,'Diesel',24,R24,0.0
35089,0,0.64,E,7,3,35,50,B1,'Diesel',2411,R11,0.0
35548,0,1.0,E,7,11,34,57,B2,'Regular',4404,R11,0.0
